en_query	cs_query	en_parse	cs_parse	domain
How long from here to the Dali Museum	Yaha se the Dali Museum kitni door hai	[IN:GET_ESTIMATED_DURATION How long from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Dali Museum ] ] ] ]	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER Yaha ] ] ] se [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Dali Museum ] ] ] kitni door hai ]	navigation
How long is the trip in train to Atlantic city on a Sunday	Sunday ko Atlantic city tak train se kitna lamba safar hai	[IN:GET_ESTIMATED_DURATION How long is the trip in [SL:METHOD_TRAVEL train ] to [SL:DESTINATION Atlantic city ] [SL:DATE_TIME on a Sunday ] ]	[IN:GET_ESTIMATED_DURATION [SL:DATE_TIME Sunday ko ] [SL:DESTINATION Atlantic city ] tak [SL:METHOD_TRAVEL train ] se kitna lamba safar hai ]	navigation
is it going to be hot out	kya baahar garm hone wala hai ?	[IN:GET_WEATHER is it going to be [SL:WEATHER_ATTRIBUTE hot ] [SL:LOCATION out ] ]	[IN:GET_WEATHER kya [SL:LOCATION baahar ] [SL:WEATHER_ATTRIBUTE garm ] hone wala hai ? ]	weather
I need to change my wakeup alarm to a different time .	mujhe mere wakeup alarm ko dusre time par badalne ki zaroorat hai .	[IN:UPDATE_ALARM I need to change my [SL:ALARM_NAME wakeup ] alarm to a different time . ]	[IN:UPDATE_ALARM mujhe mere [SL:ALARM_NAME wakeup ] alarm ko dusre time par badalne ki zaroorat hai . ]	alarm
message Mum asking for Charlie ' s phone number .	Mum ko message karo Charlie ' s phone number puchne ke liye	[IN:SEND_MESSAGE message [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION Mum ] ] ] asking for [SL:CONTENT_EXACT Charlie ' s phone number ] . ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION Mum ] ] ] ko message karo [SL:CONTENT_EXACT Charlie ' s phone number ] puchne ke liye ]	messaging
Set alarm for 6 am	subah 6 baje ke liye alarm set karo	[IN:CREATE_ALARM Set alarm [SL:DATE_TIME for 6 am ] ]	[IN:CREATE_ALARM [SL:DATE_TIME subah 6 baje ke liye ] alarm set karo ]	alarm
delete last alarm	last alarm ko delete karo	[IN:DELETE_ALARM delete [SL:ORDINAL last ] alarm ]	[IN:DELETE_ALARM [SL:ORDINAL last ] alarm ko delete karo ]	alarm
What ' s the traffic like downtown KC	downtown KC mei traffic kaisa hai	[IN:GET_INFO_TRAFFIC What ' s the traffic like [SL:LOCATION downtown KC ] ]	[IN:GET_INFO_TRAFFIC [SL:LOCATION downtown KC ] mei traffic kaisa hai ]	navigation
Add one hour to the timer	timer me ek ghanta add karo	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME one hour ] to the [SL:METHOD_TIMER timer ] ]	[IN:ADD_TIME_TIMER [SL:METHOD_TIMER timer ] me [SL:DATE_TIME ek ghanta ] add karo ]	timer
Set an alarm for Monday at 5 pm	Monday 5 pm ke liye ek alarm set karen	[IN:CREATE_ALARM Set an alarm [SL:DATE_TIME for Monday at 5 pm ] ]	[IN:CREATE_ALARM [SL:DATE_TIME Monday 5 pm ke liye ] ek alarm set karen ]	alarm
Cancel alarm for 7 pm	7 pm ke liye alarm ko cancel karen	[IN:DELETE_ALARM Cancel alarm [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for 7 pm ] ] ] ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME 7 pm ke liye ] ] ] alarm ko cancel karen ]	alarm
resuming timer please	Please timer ko phirse shuru karo	[IN:RESUME_TIMER resuming [SL:METHOD_TIMER timer ] please ]	[IN:RESUME_TIMER Please [SL:METHOD_TIMER timer ] ko phirse shuru karo ]	timer
Show me alarms I have set for today	Mujhe mere aaj ke liye set kiye huwe alarms dikhao	[IN:GET_ALARM Show me alarms I have set [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for today ] ] ] ]	[IN:GET_ALARM Mujhe mere [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME aaj ke liye ] ] ] set kiye huwe alarms dikhao ]	alarm
How many minutes are left on the timer that ' s running ?	jo timer chal raha hai usper kitne minute bakhi hai ?	[IN:GET_TIMER How many minutes are left on the [SL:METHOD_TIMER timer ] that ' s running ? ]	[IN:GET_TIMER jo [SL:METHOD_TIMER timer ] chal raha hai usper kitne minute bakhi hai ? ]	timer
Show me my reminders for the week .	Is hafte ke liye mujhe mere reminders dikhao .	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] me [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for the week ] . ]	[IN:GET_REMINDER [SL:DATE_TIME Is hafte ke liye ] mujhe [SL:PERSON_REMINDED mere ] reminders [SL:METHOD_RETRIEVAL_REMINDER dikhao ] . ]	reminder
I ' m sick so please delete tomorrow ' s reminders .	I ' m sick so please kal ke reminder delete karein	[IN:DELETE_REMINDER I ' m sick so please delete [SL:DATE_TIME tomorrow ] ' s reminders . ]	[IN:DELETE_REMINDER I ' m sick so please [SL:DATE_TIME kal ke ] reminder delete karein ]	reminder
pause song	song ko rok do	[IN:PAUSE_MUSIC pause [SL:MUSIC_TYPE song ] ]	[IN:PAUSE_MUSIC [SL:MUSIC_TYPE song ] ko rok do ]	music
How long will it take me to get to Rancho Cucamonga if I leave at 7	agar mai 7 bajhe nikalta hoon toh mujhe Rancho Cucamonga pahuchne mei kitni der lagegi	[IN:GET_ESTIMATED_DURATION How long will it take me to get to [SL:DESTINATION Rancho Cucamonga ] if I leave [SL:DATE_TIME_DEPARTURE at 7 ] ]	[IN:GET_ESTIMATED_DURATION agar mai [SL:DATE_TIME_DEPARTURE 7 bajhe ] nikalta hoon toh mujhe [SL:DESTINATION Rancho Cucamonga ] pahuchne mei kitni der lagegi ]	navigation
How long until I get home	Mai ghar kab tak pahunchunga	[IN:GET_ESTIMATED_DURATION How long until I get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]	[IN:GET_ESTIMATED_DURATION Mai [SL:DESTINATION [IN:GET_LOCATION_HOME ghar ] ] kab tak pahunchunga ]	navigation
Does this road have any pot holes	kya is sadak me koi pot holes hai	[IN:UNSUPPORTED_NAVIGATION Does this road have any pot holes ]	[IN:UNSUPPORTED_NAVIGATION kya is sadak me koi pot holes hai ]	navigation
What is the name of the street that I turn on to get to Bentleys ?	us street ka naam kya hai jissey mai Bentleys tak jata hoon ?	[IN:UNSUPPORTED_NAVIGATION What is the name of the street that I turn on to get to Bentleys ? ]	[IN:UNSUPPORTED_NAVIGATION us street ka naam kya hai jissey mai Bentleys tak jata hoon ? ]	navigation
Can I get to Main Street before noon with the current traffic conditions ?	kya mai current traffic conditions ke sath dopaher se pehle Main Street par pahunch sakta hun ?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Main Street ] [SL:DATE_TIME_ARRIVAL before noon ] with the current traffic conditions ? ]	[IN:GET_ESTIMATED_ARRIVAL kya mai current traffic conditions ke sath [SL:DATE_TIME_ARRIVAL dopaher se pehle ] [SL:DESTINATION Main Street ] par pahunch sakta hun ? ]	navigation
do i need an umbrella ?	Kya mujhe umbrella chahiye ?	[IN:GET_WEATHER do i need an [SL:WEATHER_ATTRIBUTE umbrella ] ? ]	[IN:GET_WEATHER Kya mujhe [SL:WEATHER_ATTRIBUTE umbrella ] chahiye ? ]	weather
tell Lisa to cancel the party .	Lisa ko party cancel karne ke liye bolo .	[IN:SEND_MESSAGE tell [SL:RECIPIENT Lisa ] to [SL:CONTENT_EXACT cancel the party ] . ]	[IN:SEND_MESSAGE [SL:RECIPIENT Lisa ] ko [SL:CONTENT_EXACT party cancel karne ] ke liye bolo . ]	messaging
how long will it take to get to richmond	richmond tak jane ke liye kitni der lagegi	[IN:GET_ESTIMATED_DURATION how long will it take to get to [SL:DESTINATION richmond ] ]	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION richmond ] tak jane ke liye kitni der lagegi ]	navigation
is taylor swift coming to town	kya taylor swift town mei aane wali hai	[IN:GET_EVENT is [SL:NAME_EVENT taylor swift ] coming to [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION town ] ] ] ]	[IN:GET_EVENT kya [SL:NAME_EVENT taylor swift ] [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION town ] ] ] mei aane wali hai ]	event
Read chats from a different status .	Different status se chats padho	[IN:GET_MESSAGE Read chats from a different status . ]	[IN:GET_MESSAGE Different status se chats padho ]	messaging
how far is the history museum from mike ' s work ?	mike ke kaam se the history museum kitni door hai ?	[IN:GET_DISTANCE how far is [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the history museum ] ] ] from [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT mike ] ' s work ] ] ? ]	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT mike ] ke kaam ] ] se [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the history museum ] ] ] kitni door hai ? ]	navigation
Delete all alarms for the weekend .	weekend ke liye sabhi alarms delete kardo	[IN:DELETE_ALARM Delete [SL:AMOUNT all ] alarms [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for the weekend ] ] ] . ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME weekend ke liye ] ] ] [SL:AMOUNT sabhi ] alarms delete kardo ]	alarm
cancel reminder to email john tonight	aj raat john ko email karne ke liye reminder cancel kare	[IN:DELETE_REMINDER cancel reminder to [SL:TODO [IN:SEND_MESSAGE email [SL:RECIPIENT john ] ] ] [SL:DATE_TIME tonight ] ]	[IN:DELETE_REMINDER [SL:DATE_TIME aj raat ] [SL:TODO [IN:SEND_MESSAGE [SL:RECIPIENT john ] ko email ] ] karne ke liye reminder cancel kare ]	reminder
start a 10 minute countdown	10 minute ka countdown shuru karen	[IN:CREATE_TIMER start a [SL:DATE_TIME 10 minute ] [SL:METHOD_TIMER countdown ] ]	[IN:CREATE_TIMER [SL:DATE_TIME 10 minute ] ka [SL:METHOD_TIMER countdown ] shuru karen ]	timer
Delete alarm for tomorrow at 8 am	kal subah 8 bajhe ka alarm delete kare	[IN:DELETE_ALARM Delete alarm [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for tomorrow at 8 am ] ] ] ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME kal subah 8 bajhe ka ] ] ] alarm delete kare ]	alarm
Is there another route around traffic	kya traffic ke aas paas koi aur raasta hai	[IN:UPDATE_DIRECTIONS Is there another route around [SL:OBSTRUCTION_AVOID traffic ] ]	[IN:UPDATE_DIRECTIONS kya [SL:OBSTRUCTION_AVOID traffic ] ke aas paas koi aur raasta hai ]	navigation
more music like this	aur aisa music	[IN:PLAY_MUSIC more [SL:MUSIC_TYPE music ] like this ]	[IN:PLAY_MUSIC aur aisa [SL:MUSIC_TYPE music ] ]	music
Cancel Fridays alarm	Fridays ke alarm cancel kardo	[IN:DELETE_ALARM Cancel [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Fridays ] ] ] alarm ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Fridays ] ] ] ke alarm cancel kardo ]	alarm
Create an alarm for tomorrow at 4 PM .	kal sham 4 bajhe ke liye alarm lagaye	[IN:CREATE_ALARM Create an alarm [SL:DATE_TIME for tomorrow at 4 PM ] . ]	[IN:CREATE_ALARM [SL:DATE_TIME kal sham 4 bajhe ke liye ] alarm lagaye ]	alarm
Set a good morning alarm for 8 am	subha 8 baje ke liye good morning alarm set karen	[IN:CREATE_ALARM Set a [SL:ALARM_NAME good morning ] alarm [SL:DATE_TIME for 8 am ] ]	[IN:CREATE_ALARM [SL:DATE_TIME subha 8 baje ke liye ] [SL:ALARM_NAME good morning ] alarm set karen ]	alarm
When is the storm coming ?	toofan kab aaraha hai ?	[IN:GET_WEATHER When is the [SL:WEATHER_ATTRIBUTE storm ] coming ? ]	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE toofan ] kab aaraha hai ? ]	weather
when did it last snow in florida	florida mei aakhiri baar barf kab giri thi	[IN:UNSUPPORTED_WEATHER when did it last [SL:WEATHER_ATTRIBUTE snow ] in [SL:LOCATION florida ] ]	[IN:UNSUPPORTED_WEATHER [SL:LOCATION florida ] mei aakhiri baar [SL:WEATHER_ATTRIBUTE barf ] kab giri thi ]	weather
is it shorts weather	kya ye shorts ka mausam hai	[IN:GET_WEATHER is it shorts weather ]	[IN:GET_WEATHER kya ye shorts ka mausam hai ]	weather
Please create me an alarm for May 27th at 10 minutes to midnight	Please mere liye alarm create karo for May 27th at 10 minutes to midnight	[IN:CREATE_ALARM Please create me an alarm [SL:DATE_TIME for May 27th at 10 minutes to midnight ] ]	[IN:CREATE_ALARM Please mere liye alarm create karo [SL:DATE_TIME for May 27th at 10 minutes to midnight ] ]	alarm
set the timer for 15 minutes	15 minutes ke liye timer set karen	[IN:CREATE_TIMER set the [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 15 minutes ] ]	[IN:CREATE_TIMER [SL:DATE_TIME 15 minutes ke liye ] [SL:METHOD_TIMER timer ] set karen ]	timer
let anita know i will be there early for carnival	anita ko batao ki mai carnival ke liye jaldi pahunch jaonga	[IN:SEND_MESSAGE let [SL:RECIPIENT anita ] know [SL:CONTENT_EXACT i will be there early for carnival ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT anita ] ko batao ki [SL:CONTENT_EXACT mai carnival ke liye jaldi pahunch jaonga ] ]	messaging
Set my alarm to ring every 20 minutes	har 20 minute mei alarm bajhe ke liye set kare	[IN:CREATE_ALARM Set my alarm to ring [SL:PERIOD every 20 minutes ] ]	[IN:CREATE_ALARM [SL:PERIOD har 20 minute ] mei alarm bajhe ke liye set kare ]	alarm
How is the Traffic from Portland to Seattle	Portland se Seattle tak traffic kaisa hai	[IN:GET_INFO_TRAFFIC How is the Traffic from [SL:SOURCE Portland ] to [SL:DESTINATION Seattle ] ]	[IN:GET_INFO_TRAFFIC [SL:SOURCE Portland ] se [SL:DESTINATION Seattle ] tak traffic kaisa hai ]	navigation
Pause playback	plackback ko rok do	[IN:PAUSE_MUSIC Pause [SL:MUSIC_ARTIST_NAME playback ] ]	[IN:PAUSE_MUSIC [SL:MUSIC_ARTIST_NAME plackback ] ko rok do ]	music
can you clock me at 5 pm next 14th	kya aap mujhe agle 14th 5 pm ko yaad dilasakte hai	[IN:CREATE_ALARM can you clock me [SL:DATE_TIME at 5 pm next 14th ] ]	[IN:CREATE_ALARM kya aap mujhe [SL:DATE_TIME agle 14th 5 pm ko ] yaad dilasakte hai ]	alarm
Whats the weather in California today ?	California me aaj weather kaisa hai ?	[IN:GET_WEATHER Whats the weather in [SL:LOCATION California ] [SL:DATE_TIME today ] ? ]	[IN:GET_WEATHER [SL:LOCATION California ] me [SL:DATE_TIME aaj ] weather kaisa hai ? ]	weather
Best Broadway shows in New York	New York mein best Broadway shows	[IN:GET_EVENT Best [SL:LOCATION Broadway ] [SL:CATEGORY_EVENT shows ] in [SL:LOCATION New York ] ]	[IN:GET_EVENT [SL:LOCATION New York ] mein best [SL:LOCATION Broadway ] [SL:CATEGORY_EVENT shows ] ]	event
Turn off my Saturday alarm .	mere Saturday ke alarm ko band karo	[IN:SILENCE_ALARM Turn off my [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Saturday ] ] ] alarm . ]	[IN:SILENCE_ALARM mere [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Saturday ] ] ] ke alarm ko band karo ]	alarm
Send message to Tonya to ask her if she will be coming by to get the rest of her stuff	Tonya ko message send karo aur pucho ki if she will be coming by to get the rest of her stuff	[IN:SEND_MESSAGE Send message to [SL:RECIPIENT Tonya ] to ask her if [SL:CONTENT_EXACT she will be coming by to get the rest of her stuff ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Tonya ] ko message send karo aur pucho ki if [SL:CONTENT_EXACT she will be coming by to get the rest of her stuff ] ]	messaging
Set a reminder to pack for Afest	Afest ke liye pack karne ke liye reminder set karen	[IN:CREATE_REMINDER Set a reminder to [SL:TODO pack for Afest ] ]	[IN:CREATE_REMINDER [SL:TODO Afest ke liye pack karne ] ke liye reminder set karen ]	reminder
Beatles tribute band Philadelphia this month	Is mahine Philadelphia me Beatles tribute band	[IN:GET_EVENT [SL:CATEGORY_EVENT Beatles tribute band ] [SL:LOCATION Philadelphia ] [SL:DATE_TIME this month ] ]	[IN:GET_EVENT [SL:DATE_TIME Is mahine ] [SL:LOCATION Philadelphia ] me [SL:CATEGORY_EVENT Beatles tribute band ] ]	event
let me know how long is my drive home	mujhe bataye ke ghar ke liye meri drive kitni lambi hai	[IN:GET_ESTIMATED_DURATION let me know how long is my [SL:METHOD_TRAVEL drive ] [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]	[IN:GET_ESTIMATED_DURATION mujhe bataye ke [SL:DESTINATION [IN:GET_LOCATION_HOME ghar ] ] ke liye meri [SL:METHOD_TRAVEL drive ] kitni lambi hai ]	navigation
Delete the alarm set for 5 am	subah 5 bajhe ke liye set alarm delete kare	[IN:DELETE_ALARM Delete the alarm set [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for 5 am ] ] ] ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME subah 5 bajhe ke liye ] ] ] set alarm delete kare ]	alarm
Please erase all my alarms .	Please mere sabhi alarms mita den .	[IN:DELETE_ALARM Please erase [SL:AMOUNT all ] my alarms . ]	[IN:DELETE_ALARM Please mere [SL:AMOUNT sabhi ] alarms mita den . ]	alarm
Text mum I \ u 2019 m coming over today , love you	mum ko text karo ki I \ u 2019 m coming over today , love you	[IN:SEND_MESSAGE Text [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION mum ] ] ] [SL:CONTENT_EXACT I \u2019 m coming over today , love you ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION mum ] ] ] ko text karo ki [SL:CONTENT_EXACT I \ u 2019 m coming over today , love you ] ]	messaging
are more thunderstorms coming	kya aur thunderstorms aane wala hai	[IN:GET_WEATHER are more [SL:WEATHER_ATTRIBUTE thunderstorms ] coming ]	[IN:GET_WEATHER kya aur [SL:WEATHER_ATTRIBUTE thunderstorms ] aane wala hai ]	weather
how much time is left in my run	meri run me kitna time bacha hai	[IN:GET_TIMER how much [SL:METHOD_TIMER time ] is left in my run ]	[IN:GET_TIMER meri run me kitna [SL:METHOD_TIMER time ] bacha hai ]	timer
What is the current drive time to Apple Valley	Apple Valley tak current drive time kya hai	[IN:GET_ESTIMATED_DURATION What is the current [SL:METHOD_TRAVEL drive ] time to [SL:DESTINATION Apple Valley ] ]	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION Apple Valley ] tak current [SL:METHOD_TRAVEL drive ] time kya hai ]	navigation
is the traffic bad on MoPac `	Kya MoPac par traffic kharaab hai	[IN:GET_INFO_TRAFFIC is the traffic bad on [SL:LOCATION MoPac ] ` ]	[IN:GET_INFO_TRAFFIC Kya [SL:LOCATION MoPac ] par traffic kharaab hai ]	navigation
How much traffic is on I - 75	I - 75 par kitna traffic hai	[IN:GET_INFO_TRAFFIC How much traffic is on [SL:LOCATION I - 75 ] ]	[IN:GET_INFO_TRAFFIC [SL:LOCATION I - 75 ] par kitna traffic hai ]	navigation
Remind me of my dentist appointment 30 minutes before it ' s scheduled .	Mujhe meri dentist appointment ke baare me schedule samay se 30 minutes pehle yaad dilaayen .	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] of [SL:TODO my dentist appointment ] [SL:DATE_TIME 30 minutes before ] it ' s scheduled . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Mujhe ] [SL:TODO meri dentist appointment ] ke baare me schedule samay se [SL:DATE_TIME 30 minutes pehle ] yaad dilaayen . ]	reminder
remind me to get gas in car today .	mujhe aaj car me gas dalane ke liye yaad dilaye	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO get gas in car ] [SL:DATE_TIME today ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mujhe ] [SL:DATE_TIME aaj ] [SL:TODO car me gas dalane ] ke liye yaad dilaye ]	reminder
if i leave home at 7 what time will i get to katie ' s house	agar mai 7 bajhe ghar se nikalta hoon toh Katie ' s house kab tak pahuchunga	[IN:GET_ESTIMATED_ARRIVAL if i leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_DEPARTURE at 7 ] what time will i get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT katie ] ' s house ] ] ]	[IN:GET_ESTIMATED_ARRIVAL agar mai [SL:DATE_TIME_DEPARTURE 7 bajhe ] [SL:SOURCE [IN:GET_LOCATION_HOME ghar ] ] se nikalta hoon toh [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Katie ] ' s house ] ] kab tak pahuchunga ]	navigation
stop timer at ( enter specific time )	timer band karo ( specific time enter karo )	[IN:PAUSE_TIMER stop timer at ( enter specific time ) ]	[IN:PAUSE_TIMER timer band karo ( specific time enter karo ) ]	timer
set one 10 minute time and one 40 minute timer	ek 10 minute ka timer set karo aur ek 40 minute ka timer .	[IN:UNSUPPORTED_TIMER set one 10 minute time and one 40 minute timer ]	[IN:UNSUPPORTED_TIMER ek 10 minute ka timer set karo aur ek 40 minute ka timer . ]	timer
set an alarm for 6 am	subah 6 baje ke liye alarm set karo	[IN:CREATE_ALARM set an alarm [SL:DATE_TIME for 6 am ] ]	[IN:CREATE_ALARM [SL:DATE_TIME subah 6 baje ke liye ] alarm set karo ]	alarm
Can you delete all my alarms .	kya aap mere sabhi alarms delete karsakte hai .	[IN:DELETE_ALARM Can you delete [SL:AMOUNT all ] my alarms . ]	[IN:DELETE_ALARM kya aap mere [SL:AMOUNT sabhi ] alarms delete karsakte hai . ]	alarm
What ' s the forecast for the ocean ?	ocean ke liye forecast kya hai ?	[IN:GET_WEATHER What ' s the forecast for the ocean ? ]	[IN:GET_WEATHER ocean ke liye forecast kya hai ? ]	weather
Change Friday ' s alarm from 3 : 30 to 4 : 00 am	Friday ke alarm ko badlein from 3 : 30 to 4 : 00 am	[IN:UPDATE_ALARM Change [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Friday ] ] ] ' s alarm [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME from 3 : 30 ] ] ] [SL:DATE_TIME to 4 : 00 am ] ]	[IN:UPDATE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Friday ] ] ] ke alarm ko badlein [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME from 3 : 30 ] ] ] to [SL:DATE_TIME 4 : 00 am ] ]	alarm
What can I do tonight that doesn ' t cost a lot of money	Mai aaj raat aisa kya karsakta hu jisme bahut zyada paise nahi kharch honge	[IN:GET_EVENT What can I do [SL:DATE_TIME tonight ] that [SL:ATTRIBUTE_EVENT doesn ' t cost a lot of money ] ]	[IN:GET_EVENT Mai [SL:DATE_TIME aaj raat ] aisa kya karsakta hu jisme [SL:ATTRIBUTE_EVENT bahut zyada paise nahi kharch honge ] ]	event
Delay timer for 8 minutes	8 minutes ke liye timer ko delay karo	[IN:UPDATE_TIMER Delay [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 8 minutes ] ]	[IN:UPDATE_TIMER [SL:DATE_TIME 8 minutes ke liye ] [SL:METHOD_TIMER timer ] ko delay karo ]	timer
Please display alarms set for Wedensday .	Wednesday ke liye set kiye hue alarms ko \ \ ndisplay kare	[IN:GET_ALARM Please display alarms set [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for Wedensday ] ] ] . ]	[IN:GET_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Wednesday ke liye ] ] ] set kiye hue alarms ko \ \ ndisplay kare ]	alarm
Remind me to mail the phone bill on Tuesday .	Mujhe Tuesday ko phone bill mail karne ke liye yaad dilaayen .	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO mail the phone bill ] [SL:DATE_TIME on Tuesday ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Mujhe ] [SL:DATE_TIME Tuesday ko ] [SL:TODO phone bill mail karne ] ke liye yaad dilaayen . ]	reminder
Show my last reminder from yesterday .	kal ka mera last reminder dikhaye	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED my ] [SL:ORDINAL last ] reminder [SL:DATE_TIME from yesterday ] . ]	[IN:GET_REMINDER [SL:DATE_TIME kal ka ] [SL:PERSON_REMINDED mera ] [SL:ORDINAL last ] reminder [SL:METHOD_RETRIEVAL_REMINDER dikhaye ] ]	reminder
Bogota is one of the worst traffic in the World	Bogota dunia ke sabse kharab traffic me se ek hai	[IN:UNSUPPORTED_NAVIGATION Bogota is one of the worst traffic in the World ]	[IN:UNSUPPORTED_NAVIGATION Bogota dunia ke sabse kharab traffic me se ek hai ]	navigation
Ask Chuck on how to fix a tire while stuck in a snowbank in the middle of nowhere	Chuck se pucho ki how to fix a tire while stuck in a snowbank in the middle of nowhere	[IN:SEND_MESSAGE Ask [SL:RECIPIENT Chuck ] on [SL:CONTENT_EXACT how to fix a tire while stuck in a snowbank in the middle of nowhere ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Chuck ] se pucho ki [SL:CONTENT_EXACT how to fix a tire while stuck in a snowbank in the middle of nowhere ] ]	messaging
Get directions to downtown Cincinatti without passing construction	construction pass kiye bina downtown Cincinatti ke liye directions le	[IN:GET_DIRECTIONS Get directions to [SL:DESTINATION downtown Cincinatti ] without passing [SL:OBSTRUCTION_AVOID construction ] ]	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID construction ] pass kiye bina [SL:DESTINATION downtown Cincinatti ] ke liye directions le ]	navigation
Set a recurring reminder once a month to change the water filter .	water filter ko badalne ke liye mahine me ek bar ek recurring reminder set karo	[IN:CREATE_REMINDER Set a recurring reminder [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY once a month ] ] ] to [SL:TODO change the water filter ] . ]	[IN:CREATE_REMINDER [SL:TODO water filter ko badalne ke liye ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY mahine me ek bar ] ] ] ek recurring reminder set karo ]	reminder
What time is it going to rain ?	kya time par baarish hone wali hai ?	[IN:GET_WEATHER What time is it going to [SL:WEATHER_ATTRIBUTE rain ] ? ]	[IN:GET_WEATHER kya time par [SL:WEATHER_ATTRIBUTE baarish ] hone wali hai ? ]	weather
What are the chances of rain in Charleston , South Carolina on August 21st	Charleston , South Carolina me August 21st ko baarish hone ke chances kya \ \ nhai	[IN:GET_WEATHER What are the chances of [SL:WEATHER_ATTRIBUTE rain ] in [SL:LOCATION Charleston , South Carolina ] [SL:DATE_TIME on August 21st ] ]	[IN:GET_WEATHER [SL:LOCATION Charleston , South Carolina ] me [SL:DATE_TIME August 21st ko ] [SL:WEATHER_ATTRIBUTE baarish ] hone ke chances kya \ \ nhai ]	weather
